监测点编码,监测点名称,城市,经度,纬度
1682A,环保局宿舍,湛江,110.4019,21.1997
1683A,霞山游泳场,湛江,110.4111,21.2028
1684A,麻章区环保局,湛江,110.3316,21.2679
1685A,坡头区环保局,湛江,110.4558,21.2567
1686A,市环保局茂港分局,茂名,111.0286,21.4689
1687A,茂石化七小,茂名,110.9294,21.6533
1688A,健康路,茂名,110.9067,21.6669
1689A,高岭,茂名,110.8592,21.6828
1690A,嘉应大学,梅州,116.1278,24.3289
1691A,梅县新城,梅州,116.0797,24.2719
1692A,环境监控中心,梅州,116.1248,24.2654
1693A,市环保局,汕尾,115.3653,22.775
1694A,市政府,汕尾,115.3706,22.7898
1695A,新城中学,汕尾,115.3622,22.7925
1696A,源西,河源,114.6778,23.7569
1697A,东埔,河源,114.6944,23.7586
1698A,老城,河源,114.6892,23.7233
1699A,鸳鸯湖,阳江,111.9786,21.8586
1700A,南恩路,阳江,111.9508,21.8536
1701A,马南垌,阳江,111.9494,21.8650
1702A,环保大楼,清远,113.0425,23.6936
1703A,凤城街办,清远,113.0208,23.7106
1704A,高新区,清远,113.0622,23.6272
1705A,西园路,潮州,116.6339,23.6714
1706A,档案局,潮州,116.6447,23.6706
1707A,市政公司,潮州,116.6175,23.6531
1708A,新兴,揭阳,116.3697,23.5353
1709A,西马,揭阳,116.3242,23.5486
1710A,东兴,揭阳,116.3594,23.5739
1711A,渔湖,揭阳,116.4094,23.5292
1712A,新市府,云浮,112.0392,22.9169
1713A,市监测站,云浮,112.0369,22.9394
1714A,牧羊,云浮,112.0539,22.9539
1715A,东风水库,玉溪,102.5778,24.3694
1716A,市监测站,玉溪,102.5433,24.3603
1717A,大营街镇,玉溪,102.4964,24.3411
1718A,市气象局,菏泽,115.42277,35.248889
1719A,市政协,菏泽,115.474722,35.2375
1720A,菏泽学院,菏泽,115.455,35.27
1721A,果树场,大同,113.3819,40.1097
1722A,红旗广场,大同,113.2858,40.0958
1723A,云冈宾馆,大同,113.2994,40.0758
1724A,大同大学,大同,113.3444,40.0917
1725A,安家小村,大同,113.2661,40.1269
1726A,教育学院,大同,113.2711,40.0844
1727A,清华站,长治,113.1097,36.1542
1728A,监测站,长治,113.0972,36.1939
1729A,澳瑞特,长治,113.1466,36.1961
1730A,审计局,长治,113.0886,36.2126
1731A,长治八中,长治,113.0844444,36.1855
1732A,市监测站,临汾,111.5125,36.0978
1733A,临钢医院,临汾,111.5531,36.0783
1734A,技工学校,临汾,111.5028,36.0714
1735A,工商学校,临汾,111.5169,36.0822
1736A,市委,临汾,111.5025,36.0875
1737A,南机场,临汾,111.4917,36.0417
1738A,市中心,阳泉,113.5753,37.8564
1739A,赛鱼,阳泉,113.4922,37.8792
1740A,南庄,阳泉,113.5922,37.8561
1741A,白羊墅,阳泉,113.6292,37.8531
1742A,平坦,阳泉,113.5689,37.8694
1743A,大阳泉,阳泉,113.5158,37.8500
1744A,松山一中,赤峰,118.9233,42.2814
1745A,哈达街,赤峰,118.9572,42.2725
1746A,天义路,赤峰,118.8789,42.2556
1747A,松山路,赤峰,119.2719,42.0317
1748A,深沟寺,鞍山,123.0440,41.1196
1749A,太阳城,鞍山,123.0110,41.0931
1750A,太平,鞍山,123.0485,41.1442
1751A,铁西三道街,鞍山,122.9642,41.0971
1752A,铁西工业园区,鞍山,122.9481,41.0833
1753A,明达新区,鞍山,123.0156,41.0831
1754A,千山,鞍山,123.1289,41.0228
1755A,望花区,抚顺,123.8100,41.8469
1756A,顺城区,抚顺,123.9169,41.8828
1757A,东洲区,抚顺,124.0383,41.8625
1758A,新抚区,抚顺,123.9000,41.8594
1759A,大伙房水库,抚顺,124.0878,41.8864
1760A,沈抚新城,抚顺,123.7117,41.8417
1761A,大峪,本溪,123.8436,41.3283
1762A,溪湖,本溪,123.7528,41.3369
1763A,彩屯,本溪,123.7308,41.3047
1764A,东明,本溪,123.7669,41.2864
1765A,新立屯,本溪,123.7989,41.2692
1766A,威宁,本溪,123.8142,41.3472
1767A,南山,锦州,121.0986,41.0781
1768A,开发区,锦州,121.0450,40.8333
1769A,百股街道,锦州,121.2008,41.1219
1770A,天安街道,锦州,121.1178,41.1222
1771A,北湖公园,锦州,121.1303,41.1386
1772A,哈达湾,吉林,126.5550,43.8875
1773A,东局子,吉林,126.5844,43.8358
1774A,电力学院,吉林,126.4978,43.8228
1775A,江北,吉林,126.5786,43.8947
1776A,江南公园,吉林,126.5500,43.8256
1777A,农科院,吉林,,
1778A,丰满,吉林,126.6772,43.7256
1779A,安居小区,齐齐哈尔,123.9305,47.3636
1780A,中心广场,齐齐哈尔,123.9305,47.3386
1781A,农牧车辆厂,齐齐哈尔,123.9483,47.3227
1782A,富区环保局,齐齐哈尔,123.6261,47.2030
1783A,市环境监测站,齐齐哈尔,123.9450,47.2988
1784A,环保大楼　,牡丹江,129.6100,44.5610
1785A,文化广场　,牡丹江,129.6115,44.5782
1786A,第一医院,牡丹江,129.5902,44.5952
1787A,机车工厂,牡丹江,129.6459,44.6104
1788A,第一中学,牡丹江,129.6386,44.5462
1789A,大同区,大庆,124.8354,46.0347
1790A,龙凤区,大庆,125.1120,46.5280
1791A,红岗区,大庆,124.8847,46.3991
1792A,萨尔图区,大庆,125.1386,46.5776
1793A,让胡路区,大庆,124.8648,46.6219
1794A,监测站,芜湖,118.3528,31.3508
1795A,科创中心,芜湖,118.3700,31.4189
1796A,四水厂,芜湖,118.3708,31.3178
1797A,五七二零厂,芜湖,118.4022,31.3839
1798A,湖东路四小,马鞍山,118.5058,31.6861
1799A,天平服装,马鞍山,118.4828,31.6411
1800A,慈湖二小,马鞍山,118.5106,31.7506
1801A,马钢动力厂,马鞍山,118.4800,31.6928
1802A,市教育基地,马鞍山,118.6439,31.7133
1803A,十里,九江,115.9872,29.6816
1804A,茅山头,九江,115.9581,29.7048
1805A,西园,九江,115.9880,29.7292
1806A,五七二七厂,九江,116.0174,29.6535
1807A,水科所,九江,116.0628,29.6926
1808A,综合工业园,九江,115.9114,29.6039
1809A,石化总厂,九江,116.0726,29.7534
1810A,庐山气象台,九江,115.9936,29.5867
1811A,中信二小,洛阳,112.3628,34.6692
1812A,市委党校,洛阳,112.3939,34.6511
1813A,市监测站,洛阳,112.4333,34.6700
1814A,豫西宾馆,洛阳,112.4664,34.6869
1815A,河南林校,洛阳,112.4831,34.6869
1816A,开发区管委会,洛阳,112.3844,34.6231
1817A,市委新办公区,洛阳,112.4275,34.6258
1818A,棉研所,安阳,114.483,36.061
1819A,红庙街,安阳,114.3200,36.086
1820A,银杏小区,安阳,114.358,36.087
1821A,环保局,安阳,114.3931,36.0883
1822A,铁佛寺,安阳,114.2860,36.1100
1823A,河大一附院,开封,114.3406,34.8022
1824A,肿瘤医院,开封,114.3389,34.7781
1825A,妇幼保健院,开封,114.3733,34.7975
1826A,世纪星幼儿园,开封,114.2886,34.7967
1827A,市监测站　,焦作,113.261,35.235
1828A,市环保局　,焦作,113.227,35.213
1829A,高新区政府,焦作,113.2464,35.1764
1830A,影视城,焦作,113.1992,35.2590
1831A,高压开关厂,平顶山,113.3064,33.7214
1832A,新华旅馆,平顶山,113.322,33.721
1833A,规划设计院,平顶山,113.292,33.739
1834A,平顶山工学院,平顶山,113.182,33.737
1835A,市政府,三门峡,111.1928,34.7772
1836A,开发区,三门峡,111.1580,34.7940
1837A,二  印,三门峡,111.1858,34.7917
1838A,风景区,三门峡,111.1489,34.7997
1839A,四零三,宜昌,111.3009,30.7157
1840A,白龙岗,宜昌,111.2992,30.6980
1841A,伍家岗,宜昌,111.3549,30.6463
1842A,点军区,宜昌,111.2680,30.6960
1843A,夷陵区,宜昌,111.3296,30.7819
1844A,市图书馆,荆州,112.2551,30.3175
1845A,市委党校,荆州,112.2068,30.3515
1846A,科融环保,荆州,112.2887,30.3055
1847A,南湖风景区,岳阳,113.1094,29.3578
1848A,城陵矶,岳阳,113.1493,29.4251
1849A,开发区,岳阳,113.1772,29.3678
1850A,云溪区,岳阳,113.2621,29.4758
1851A,君山区,岳阳,112.9943,29.4402
1852A,金凤水库,岳阳,113.2117,29.3550
1853A,市监测站,常德,111.7044,29.0244
1854A,市二中,常德,111.6975,28.9703
1855A,鼎城区环保局,常德,111.6753,29.0239
1856A,市技术监督局,常德,111.6794,29.0381
1857A,白鹤山,常德,111.7158,29.1456
1858A,永定新区,张家界,110.4800,29.1389
1859A,电业局,张家界,110.4697,29.1242
1860A,未央路,张家界,110.5594,29.3547
1861A,袁家界,张家界,110.4417,29.3150
1862A,电子科大尧山校区,桂林,110.4144,25.3167
1863A,监测站,桂林,110.2819,25.2697
1864A,龙隐路小学,桂林,110.3089,25.2708
1865A,八中,桂林,110.2869,25.2178
1866A,牛尾岭水库,北海,109.2256,21.5958
1867A,海滩公园,北海,109.1436,21.4086
1868A,新市环保局,北海,109.0981,21.4661
1869A,北海工业园,北海,109.1778,21.5233
1870A,柳东小学,柳州,109.4883,24.3898
1871A,环保监测站,柳州,109.4108,24.3304
1872A,河西水厂,柳州,109.3886,24.3406
1873A,市四中,柳州,109.4221,24.2990
1874A,市九中,柳州,109.3957,24.3663
1875A,古亭山,柳州,109.4839,24.3158
1876A,河东子站,三亚,109.5078,18.2489
1877A,河西子站,三亚,109.4964,18.2681
1878A,富乐山,绵阳,104.7778,31.4747
1879A,市人大,绵阳,104.7536,31.4539
1880A,高新区自来水公司,绵阳,104.6717,31.4656
1881A,三水厂,绵阳,104.7283,31.5072
1882A,石马中学,宜宾,104.5969,28.8194
1883A,市委,宜宾,104.6225,28.76611
1884A,宜宾四中,宜宾,104.6061,28.7867
1885A,市政府,宜宾,104.6417,28.76389
1886A,黄金嘴,宜宾,104.5761,28.71583
1887A,沙坪中学,宜宾,104.6789,28.7989
1888A,弄弄坪,攀枝花,101.68912,26.57098
1889A,河门口,攀枝花,101.5769,26.5928
1890A,炳草岗,攀枝花,101.7169,26.5850
1891A,仁和,攀枝花,101.7453,26.5017
1893A,九狮山,泸州,105.4306,28.9583
1894A,小市上码头,泸州,105.4436,28.9026
1895A,兰田宪桥,泸州,105.4322,28.8558
1896A,市环监站,泸州,105.4322,28.8833
1897A,大塘山,自贡,104.7547,29.3628
1898A,盐马路,自贡,104.7214,29.3586
1899A,檀木林街,自贡,104.7747,29.3564
1900A,春华路,自贡,104.7692,29.3411
1901A,东山公园,德阳,104.4219,31.1208
1902A,西小区,德阳,104.3883,31.1333
1903A,市检察院,德阳,104.4053,31.1167
1904A,耐火材料厂,德阳,104.3539,31.1108
1905A,西山风景区,南充,106.0560,30.8064
1906A,南充市委,南充,106.0789,30.8023
1907A,南充炼油厂,南充,106.1031,30.8217
1908A,高坪区监测站,南充,106.1064,30.7856
1909A,嘉陵区环保局,南充,106.0642,30.7636
1910A,市环境监测站,南充,106.1087,30.8388
1911A,丁字口,遵义,106.9222,27.6869
1912A,凤凰山,遵义,106.9242,27.7019
1913A,忠庄,遵义,106.8906,27.6486
1914A,舟水桥,遵义,106.9231,27.6506
1915A,干田坝,遵义,106.9178,27.7200
1916A,环境监测站,曲靖,103.7897,25.5035
1917A,烟厂办公区,曲靖,103.8000,25.5364
1918A,气象站,咸阳,108.7197,34.3956
1919A,中华小区,咸阳,108.6761,34.3181
1920A,师范学院,咸阳,108.7233,34.3617
1921A,中医学院,咸阳,108.7369,34.3164
1922A,党校,铜川,109.0656,35.0994
1923A,王益区政府,铜川,109.0697,35.0697
1924A,新区管委会,铜川,108.9344,34.9058
1925A,新区兰芝公司,铜川,108.9589,34.8731
1926A,枣园,延安,109.4131,36.6275
1927A,延大医附院,延安,109.4761,36.6028
1928A,市监测站,延安,109.4824,36.5767
1929A,百米大道,延安,109.5056,36.6106
1930A,庙沟村,宝鸡,107.1586,34.3708
1931A,竹园沟,宝鸡,107.0708,34.3017
1932A,三陆医院,宝鸡,107.1906,34.3672
1933A,监测站,宝鸡,107.1431,34.3547
1934A,技工学校,宝鸡,107.1186,34.3739
1935A,陈仓环保局,宝鸡,107.3906,34.3528
1936A,文理学院,宝鸡,107.2058,34.3497
1937A,三迪小学,宝鸡,107.2386,34.3622
1938A,农科所,渭南,109.5293,34.5101
1939A,日报社,渭南,109.5049,34.5004
1940A,体育馆,渭南,109.4636,34.4930
1941A,高新一小,渭南,109.4266,34.5021
1942A,市科委,金昌,102.1878,38.5247
1943A,新川苑,金昌,102.1725,38.5339
1944A,公司二招,金昌,102.1708,38.5061
1945A,气象局,嘉峪关,98.2908,39.7711
1946A,酒钢耐材公司,嘉峪关,,
1947A,沙湖旅游区,石嘴山,106.3394,38.8170
1948A,大武口黄河东街,石嘴山,106.3717,39.0153
1949A,惠农南大街,石嘴山,106.7704,39.2282
1950A,红果子镇惠新街,石嘴山,106.7096,39.1292
1951A,长征新村,克拉玛依,84.8861,45.6033
1952A,南林小区,克拉玛依,84.8897,45.5828
1953A,白碱滩区,克拉玛依,85.1186,45.6886
1954A,独山子区,克拉玛依,84.8983,44.3336
1955A,乌尔禾区商贸楼,克拉玛依,85.6931,46.0872
1956A,孔雀公园,库尔勒,86.1461,41.7511
1957A,棉纺厂,库尔勒,86.2022,41.7192
1958A,经济开发区,库尔勒,86.2381,41.7128
1959A,监测站,寿光,118.746,36.881
1960A,世纪学校,寿光,118.780,36.864
1961A,环境监测站,章丘,117.541,36.710
1962A,明水开发区,章丘,117.541,36.710
1963A,环保局子站,即墨,120.610,36.440
1964A,开发区子站,即墨,120.470,36.390
1965A,JN子站,胶南,120.005,35.878
1966A,2号子站,胶南,120.039,35.872
1967A,胶州环保局,胶州,120.008,36.283
1968A,胶州一中,胶州,120.014,36.253
1969A,环保局子站,莱西,120.537,36.865
1970A,人民广场子站,莱西,120.515,36.885
1971A,1号,平度,119.952,36.792
1972A,2号,平度,119.976,36.799
1973A,蓬莱环保局,蓬莱,120.747,37.825
1974A,蓬莱博物馆,蓬莱,120.773,37.809
1975A,招远环保局,招远,120.399,37.374
1976A,招远教育局,招远,120.394,37.364
1977A,莱州环保局,莱州,119.941,37.177
1978A,莱州外经委,莱州,119.959,37.180
1979A,荣成市环保局办公楼,荣成,122.471,37.154
1980A,山东成山轮胎公司,荣成,122.410,37.161
1981A,文登市环保局,文登,122.038,37.197
1982A,文登市丝绸公司,文登,122.019,37.187
1983A,乳山市环保局,乳山,121.531,36.913
1984A,乳山市气象局,乳山,121.544,36.907
1985A,吴江市环保局,吴江,120.636,31.155
1986A,教师进修学校,吴江,120.635,31.170
1987A,吴江开发区,吴江,120.658,31.172
1988A,昆山实验小学,昆山,120.953,31.388
1989A,震川中学,昆山,120.999,31.381
1990A,海虞子站,常熟,120.758,31.670
1991A,兴福子站,常熟,120.721,31.671
1992A,菱塘子站,常熟,120.734,31.656
1993A,张家港市监测站,张家港,120.526,31.874
1994A,城北小学,张家港,120.550,31.882
1995A,太仓市监测站,太仓,121.115,31.453
1996A,科教新城实小,太仓,121.140,31.422
1997A,消防指挥中心,句容,119.146,31.955
1998A,房家坝,句容,119.180,31.955
1999A,虹桥邮政,江阴,120.268,31.920
2000A,五星公园,江阴,120.237,31.909
2001A,第二实验小学,江阴,120.302,31.920
2002A,宜兴市环保局,宜兴,119.818,31.354
2003A,宜园,宜兴,119.794,31.371
2004A,金坛市环境监测站,金坛,119.579,31.751
2005A,金坛市自来水公司,金坛,119.579,31.737
2006A,溧阳市东门子站,溧阳,119.460,31.400
2007A,燕山子站,溧阳,119.438,31.317
2008A,海门市监测站,海门,121.173,31.896
2009A,蓓蕾幼儿园,海门,121.1518,31.89708
2010A,市政府,临安,119.7183,30.2366
2011A,四中,临安,119.6942,30.2311
2012A,监测站,富阳,119.954,30.054
2013A,富春二小,富阳,119.946,30.049
2014A,江东,义乌,120.091,29.305
2015A,北苑,义乌,120.040,29.334
2016A,图书馆,诸暨,120.251,29.719
2017A,富林印务,诸暨,120.209,29.732
2018A,抱龙山庄,瓦房店,121.989,39.625
2019A,东山公园,瓦房店,122.011,39.617
2031A,云田中学,株洲,113.1817,27.9958
2054A,平桥分局,信阳,114.1044,32.1078
2064A,南湾水厂,信阳,114.0122,32.1403
2065A,市酿酒公司,信阳,114.0681,32.1342
2066A,审计局,信阳,114.0614,32.1383
2067A,市环境监测站,周口,114.6613,33.6128
2068A,周口师范,周口,114.6758,33.6347
2069A,市运管处,周口,114.6546,33.5979
2070A,川汇区环保局,周口,114.6369,33.6406
2073A,蓝田,漳州,117.7206,24.5086
2074A,漳州三中,漳州,117.6569,24.5157
2075A,九湖,漳州,117.6336,24.4674
2160A,自来水公司,晋城,112.85,35.5051
2161A,白云商贸,晋城,112.835,35.4934
2162A,市环保局,晋城,112.8564,35.4883
2163A,技术学院,晋城,112.8664,35.4894
2164A,泽州一中,晋城,112.8252,35.4813
2165A,白马寺,晋城,112.8453,35.546
2166A,平朔,朔州,112.44,39.3514
2167A,朔唯,朔州,112.4549,39.3606
2168A,区政府,朔州,112.4254,39.3179
2169A,市环保局,朔州,112.4078,39.3265
2170A,市二中,朔州,112.4279,39.3673
2171A,锦纶小区,晋中,112.7549,37.7019
2172A,榆次液压件厂,晋中,,
2173A,南都小区,晋中,112.7306,37.7111
2174A,榆次区政府,晋中,112.7105,37.7087
2175A,运城中学,运城,110.9956,35.0147
2176A,禹都开发区,运城,111.0233,35.0611
2177A,运城学院,运城,,
2178A,地区技校,运城,110.9678,35.0308
2179A,空港新区,运城,111.0414,35.1147
2180A,机引,忻州,112.7356,38.4186
2181A,开发区,忻州,112.7383,38.4519
2182A,会展中心,忻州,112.7003,38.4928
2183A,环保局,吕梁,111.1406,37.5211
2184A,豆制品厂,吕梁,,
2185A,自来水公司,吕梁,111.1297,37.5136
2186A,聚英学校,乌海,106.8219,39.6719
2187A,市林业局,乌海,106.8089,39.6969
2188A,中海勃湾学校,乌海,106.7931,39.6572
2189A,通辽宾馆,通辽,122.2603,43.6267
2190A,胶建铝业,通辽,122.3039,43.6156
2191A,艺术职业学校,通辽,122.2532,43.6801
2192A,区环保局,呼伦贝尔,119.7594,49.2261
2193A,市艺校,呼伦贝尔,119.7283,49.2014
2194A,秋林养殖基地,巴彦淖尔,107.5936,40.916
2195A,附中,巴彦淖尔,107.4211,40.7608
2196A,市环保大楼,巴彦淖尔,107.3715,40.7378
2197A,集宁新区,乌兰察布,113.1306,40.9923
2198A,集宁旧区西,乌兰察布,113.0974,41.038
2199A,盟监测站,兴安盟,122.062,46.0872
2200A,胜华新制药厂,兴安盟,122.0506,46.0703
2201A,科右前旗环保局,兴安盟,121.9462,46.0756
2202A,市环保监测站,锡林郭勒盟,116.1042,43.9317
2203A,市政府,锡林郭勒盟,116.0781,43.9311
2204A,体育场,阿拉善盟,105.6775,38.8343
2205A,盟环保楼,阿拉善盟,105.6975,38.843
2206A,环保局新楼,阿拉善盟,105.724,38.8516
2207A,工业园区,阜新,121.6178,41.9967
2208A,长青街,阜新,121.6561,42.0186
2209A,农业园区,阜新,121.6972,42.0503
2210A,东苑,阜新,121.6722,42.0228
2211A,玉龙新城,阜新,121.6592,42.0486
2212A,宏伟区,辽阳,123.2,41.1953
2213A,新华园,辽阳,123.15,41.2553
2214A,滨河路,辽阳,123.1761,41.2736
2215A,铁西工业园,辽阳,123.1417,41.2894
2216A,汇工街西,铁岭,123.8139,42.3022
2217A,水上乐园,铁岭,123.8831,42.2953
2218A,银州路东段,铁岭,123.8489,42.2864
2219A,金沙江路北,铁岭,123.7153,42.2217
2220A,西梁,朝阳,120.4439,41.5931
2221A,河畔小区,朝阳,120.4486,41.5672
2222A,八里堡,朝阳,120.4247,41.5647
2223A,农业园区,朝阳,120.3939,41.615
2224A,监测站,四平,124.3419,43.1747
2225A,一商场,四平,124.3711,43.1594
2226A,境园,四平,124.3897,43.1847
2227A,环保局,辽源,125.1358,42.8947
2228A,污水处理厂,辽源,125.1567,42.8953
2229A,光明,通化,125.9361,41.7156
2230A,铁路,通化,125.9486,41.7381
2231A,喜丰,白山,126.4047,41.9206
2232A,环保局,白山,126.4078,41.9419
2233A,江南,松原,124.8292,45.0878
2234A,江北,松原,124.8528,45.1642
2235A,洮北区环保局,白城,122.8444,45.6289
2236A,市环保局,白城,122.8211,45.6175
2237A,妇幼医院,延边州,129.4892,42.8939
2238A,延边医院,延边州,129.5042,42.9061
2239A,朝阳川镇医院,延边州,129.3675,42.8775
2240A,环保局　,鸡西,130.962,45.2924
2241A,自来水公司　,鸡西,130.9817,45.305
2242A,白酒厂　,鸡西,131.0103,45.2948
2243A,气象局　,鸡西,130.9298,45.2978
2244A,哈啤分公司,鹤岗,130.2659,47.3349
2245A,斯达机电,鹤岗,130.261,47.2753
2246A,东山纸板厂,鹤岗,130.3172,47.3489
2247A,五号水库,鹤岗,130.1097,47.3382
2248A,双合村,双鸭山,131.1638,46.6572
2249A,南小市,双鸭山,131.1651,46.619
2250A,环保局,双鸭山,131.1516,46.6462
2251A,苗圃,双鸭山,131.1572,46.5888
2252A,中心医院,伊春,128.8736,47.7222
2253A,林管局,伊春,128.9094,47.7317
2254A,汤旺河国家公园,伊春,129.4942,48.4658
2255A,佳纺,佳木斯,130.2719,46.8025
2256A,发电厂,佳木斯,130.3961,46.8267
2257A,环保局,佳木斯,130.3258,46.7975
2258A,十一中,佳木斯,130.3648,46.8032
2259A,四丰,佳木斯,130.3794,46.7588
2260A,环保局,七台河,131.0032,45.7677
2261A,新建　,七台河,130.8625,45.8194
2262A,葫头沟,七台河,130.9467,45.8309
2263A,交通局　,黑河,127.4961,50.2486
2264A,党校,黑河,127.5044,50.2391
2265A,地震局　,黑河,127.4143,50.2538
2266A,人和东街,绥化,126.9934,46.6384
2267A,党政办公中心,绥化,126.9636,46.6527
2268A,环保局,大兴安岭地区,124.1186,50.4269
2269A,公安局,大兴安岭地区,124.1303,50.4217
2270A,工人疗养院,蚌埠,117.3961,32.939
2271A,百货大楼,蚌埠,117.3575,32.9444
2272A,二水厂,蚌埠,117.3086,32.935
2273A,蚌埠学院,蚌埠,117.4186,32.8913
2274A,淮上区政府,蚌埠,117.3536,32.9673
2275A,高新区,蚌埠,117.3065,32.8985
2276A,大通区政府,淮南,117.0417,32.6611
2277A,潘集区政府,淮南,116.8028,32.7639
2278A,师范学院,淮南,117.0083,32.645
2279A,谢家集区政府,淮南,116.8556,32.6028
2280A,八公山区政府,淮南,116.8306,32.6319
2281A,焦岗湖风景区管理处,淮南,116.7039,32.625
2282A,监测站,淮北,116.8008,33.975
2283A,烈山区政府,淮北,116.8067,33.8997
2284A,职业技术学院,淮北,116.7844,33.9461
2285A,市第四中学,铜陵,117.8178,30.9414
2286A,市公路局,铜陵,117.8078,30.9222
2287A,市新民污水厂,铜陵,117.7806,30.9414
2288A,市第九中学,铜陵,117.7442,30.8811
2289A,车站新区,铜陵,117.8561,30.9219
2290A,市职教基地,铜陵,117.8472,30.9697
2291A,环科院,安庆,117.0549,30.5103
2292A,马山宾馆,安庆,117.0331111,30.51197222
2293A,联富花园,安庆,117.0486,30.5489
2294A,安庆大学,安庆,116.9894,30.6145
2295A,延安路89号,黄山,118.3057,29.7128
2296A,黄山东路89号,黄山,118.3236,29.7207
2297A,黄山区政府5号楼,黄山,118.1371,30.2756
2298A,老年大学,滁州,118.3094,32.3153
2299A,人大宾馆,滁州,118.3244,32.2786
2300A,监测站,滁州,118.3158,32.3061
2301A,市监测站,阜阳,115.8275,32.8928
2302A,市委党校,阜阳,,
2303A,开发区,阜阳,115.8556,32.8603
2304A,监测楼,宿州,116.9765,33.6481
2305A,一中,宿州,116.9677,33.6284
2306A,火车站,宿州,116.989,33.63063889
2307A,监测大楼,六安,116.508,31.7371
2308A,皖西学院,六安,116.478,31.7618
2309A,朝阳厂,六安,116.5068,31.7797
2310A,开发区,六安,116.5661,31.7712
2311A,污水处理厂,亳州,115.8067,33.8399
2312A,三国揽胜宫,亳州,115.7831,33.8561
2313A,环保大楼,池州,117.4808,30.6414
2314A,池州学院,池州,117.4697,30.6617
2315A,平天湖,池州,117.4974,30.6539
2316A,鳌峰子站,宣城,118.7581,30.9447
2317A,敬亭山子站,宣城,118.7386,30.9742
2318A,开发区子站,宣城,118.7175,30.9431
2319A,荔城区仓后路,莆田,119.0156,25.442
2320A,莆田市监测站,莆田,119.0018,25.4552
2321A,涵江区六中,莆田,119.1117,25.4556
2322A,秀屿区政府,莆田,119.1015,25.3214
2323A,东圳水库,莆田,118.981,25.4792
2324A,三钢,三明,117.6211,26.2625
2325A,三明二中,三明,117.6353,26.2708
2326A,三元区政府,三明,117.6028,26.2378
2327A,洋溪,三明,117.7275,26.3108
2331A,茫荡山,南平,118.0966,26.6761
2332A,南平市监测站,南平,118.1694,26.6383
2333A,南平铝业有限公司,南平,118.1819,26.6514
2334A,南平七中,南平,118.1756,26.6272
2335A,龙岩师专,龙岩,117.0181,25.1174
2336A,龙岩市监测站,龙岩,117.0216,25.1035
2337A,闽西职业技术学院,龙岩,117.0256,25.0661
2338A,龙岩学院,龙岩,117.0151,25.0311
2339A,金涵水库,宁德,119.5001,26.6946
2340A,蕉城区农机局,宁德,119.5202,26.6607
2341A,宁德市监测站,宁德,119.5392,26.6611
2342A,王岗中学,景德镇,117.3097,29.3864
2343A,老干部活动中心,景德镇,117.2111,29.2958
2344A,兽医站,景德镇,117.1983,29.2786
2345A,台达陶瓷,景德镇,117.1558,29.2647
2346A,陶研所,景德镇,117.2461,29.2956
2347A,武功山气象站,萍乡,114.0944,27.4948
2348A,中医院,萍乡,113.8381,27.6428
2349A,市政府车库,萍乡,113.8447,27.6231
2350A,市环保局,萍乡,113.8686,27.6442
2351A,安源区政府,萍乡,113.865,27.6178
2352A,北岗,新余,115.0586,27.7758
2353A,飞宇,新余,114.9831,27.8344
2354A,第二水厂,新余,114.9289,27.8328
2355A,市气象局,新余,114.9314,27.8036
2356A,新钢氧气厂,新余,114.9119,27.8042
2357A,龙虎山,鹰潭,116.9622,28.095
2358A,新监测站,鹰潭,117.0564,28.2642
2359A,财苑宾馆,鹰潭,117.0281,28.2403
2360A,体育馆,鹰潭,117.0222,28.2264
2361A,三川水表,鹰潭,116.9983,28.2169
2362A,通天岩,赣州,114.9064,25.9118
2363A,地委,赣州,114.9367,25.8664
2364A,气象台,赣州,114.9461,25.8481
2365A,市图书馆,赣州,114.9322,25.8333
2366A,华坚鞋城,赣州,114.8905,25.8471
2367A,红声器材厂,吉安,114.9817,27.0658
2368A,市森林工业局,吉安,114.9739,27.11
2369A,市环境监测站,吉安,114.99,27.1311
2370A,青原区法院,吉安,115.0075,27.0983
2371A,槟榔水业,宜春,114.3442,27.8036
2372A,市中国银行,宜春,114.3806,27.8014
2373A,市石油公司,宜春,114.3953,27.7842
2374A,市气象局,宜春,114.3703,27.7914
2375A,市广电局,宜春,114.4011,27.8072
2376A,桐源党溪,抚州,116.2239,28.0797
2377A,市站,抚州,116.3553,27.9883
2378A,血防站,抚州,116.3598,27.9639
2379A,采茶剧团,抚州,116.3574,28.0005
2380A,医学分院,抚州,116.385,27.9647
2381A,百草园,上饶,118.0058,28.4569
2382A,市监测站,上饶,117.973,28.4459
2383A,凤凰光学,上饶,117.9511,28.4622
2384A,开发区管委会,上饶,117.9033,28.4303
2385A,市监测站,鹤壁,114.17,35.9019
2386A,市交警支队,鹤壁,114.2956,35.7511
2387A,迎宾馆,鹤壁,114.2878,35.7306
2388A,科技学院,新乡,113.926,35.279
2389A,环保西院,新乡,113.836,35.31
2390A,开发区,新乡,113.884,35.272
2391A,环保东院,新乡,113.883,35.303
2392A,环保局,濮阳,115.031,35.763
2393A,紭天威,濮阳,114.9906,35.767
2394A,油田运输公司,濮阳,115.0628,35.7672
2395A,油田物探公司,濮阳,115.0772,35.767
2396A,监测站,许昌,113.8331,34.0117
2397A,环保局,许昌,113.8208,34.0314
2398A,开发区,许昌,113.7906,33.9953
